GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP,TOT_VOTES,REP_VOTES,DEM_VOTES,OTH_VOTES
08013013650,1356,1090,799,232,14,35,17,3,291,4069,1574,2259,236
08013013643,1585,1242,710,434,10,54,49,2,532,3865,1391,2264,210
08013013635,1166,977,730,182,16,14,31,0,247,4203,1845,2173,185
08013013627,1683,1248,818,325,39,50,22,4,430,3617,1213,2157,247
08013013628,1262,1116,857,165,6,29,46,2,259,5014,1527,3255,232
08013013634,1413,1194,848,252,21,35,26,2,346,3902,1274,2388,240
08013013629,860,729,537,110,12,36,26,0,192,3153,726,2227,200
08013013609,1737,1324,670,543,22,51,49,1,654,2293,536,1633,124
08013013623,2027,1744,1202,403,41,88,30,7,542,6034,1330,4365,339
08013013604,1405,1153,778,303,17,21,33,1,375,5018,2188,2628,202
08013013607,1545,1223,796,355,13,36,36,2,427,5170,1681,3244,245
08013013608,2321,1708,683,907,29,63,70,0,1025,4383,1317,2850,216
08013013603,1971,1600,1242,202,27,52,78,2,358,6902,2751,3911,240
08013013631,1140,909,546,311,16,37,16,2,363,3174,947,1997,230
08013013630,1857,1371,791,460,34,39,42,11,580,4403,1239,2906,258
08013013633,2435,1791,692,989,35,92,39,4,1099,4009,1133,2564,312
08013013644,2085,1561,720,728,39,67,35,0,841,3931,1056,2629,246
08013013647,2225,1739,1369,239,18,41,72,4,370,7854,3170,4367,317
08013013646,1235,994,810,87,12,23,55,6,184,4933,2276,2474,183
08013013645,1425,1091,699,293,23,32,39,6,392,4344,1679,2476,189
08013013606,1605,1220,820,323,18,64,19,2,400,4403,1509,2649,245
08013013632,1924,1453,949,344,35,55,65,4,504,6268,2403,3525,340
08013013602,1290,907,646,126,20,34,80,2,261,4273,1790,2274,209
08013013605,1634,1234,869,237,10,20,89,3,365,5294,1772,3233,289
