GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP,TOT_VOTES,REP_VOTES,DEM_VOTES,OTH_VOTES
36035000011,1301,957,814,46,56,25,4,1,143,1452,922,483,47
36035000025,1331,1049,942,21,26,21,36,0,107,2530,1519,943,68
36035000012,1412,1128,931,63,70,40,19,1,197,2636,1343,1214,79
36103000832,534,389,288,68,27,5,8,1,101,1430,650,746,34
36103000098,1534,1150,692,237,118,21,112,0,458,3068,1438,1569,61
36103000632,703,533,472,15,6,0,36,2,61,2374,1126,1222,26
36005000790,1684,1301,24,950,484,41,19,2,1277,2769,169,2571,29
36005000792,2275,1650,27,1157,637,57,19,11,1623,2511,135,2367,9
36005000791,1920,1506,20,1167,469,72,21,5,1486,2382,159,2211,12
36005000489,997,815,452,272,57,11,45,0,363,1508,666,817,25
36005000371,977,792,535,147,106,10,17,3,257,1799,810,939,50
36005000636,1864,1495,76,258,1175,26,40,4,1419,3348,191,3132,25
36005000677,985,775,91,376,361,28,19,5,684,650,59,572,19
36005000694,1996,1595,32,1122,577,91,24,14,1563,2363,180,2146,37
36005000695,1848,1388,24,972,497,67,18,4,1364,2549,148,2371,30
36005000696,1705,1248,52,872,436,74,9,1,1196,2204,165,2000,39
36005000734,281,165,14,101,83,11,6,0,151,20,3,17,0
36005000374,1178,998,323,470,237,14,39,0,675,3160,476,2601,83
36005000484,1831,1385,406,717,238,43,94,3,979,2530,549,1955,26
36005000481,1391,1077,463,423,115,34,119,2,614,1976,600,1328,48
36005000480,1915,1503,660,578,181,47,122,4,843,2537,840,1638,59
36005000207,2108,1541,51,897,724,42,35,6,1490,2636,137,2463,36
36005000211,1989,1456,35,878,646,39,31,11,1421,2418,159,2238,21
36005000244,2686,1881,24,893,1154,43,4,8,1857,2058,89,1953,16
36005000210,783,555,23,278,276,12,6,10,532,666,45,609,12
36005000208,2721,1901,55,968,1045,37,22,11,1846,2748,122,2592,34
36005000212,3753,2812,39,1646,1404,97,79,11,2773,5821,284,5474,63
36005000722,2293,1560,40,997,702,53,25,10,1520,2325,148,2158,19
36005000697,1503,1083,19,673,508,29,13,0,1064,2508,111,2371,26
36005000248,1374,1134,701,251,63,10,136,2,433,2993,1600,1340,53
36035000032,1111,941,895,13,3,10,6,1,46,2962,2046,831,85
36103000755,1046,826,747,54,12,1,8,1,79,3433,1805,1560,68
36103000998,1133,945,742,117,12,14,49,0,203,2400,987,1364,49
36103001041,1504,1185,613,364,163,42,23,1,572,2978,909,2028,41
36103000780,1520,1200,1008,107,21,15,38,3,192,3790,2212,1486,92
36103000858,1126,912,686,114,55,16,49,1,226,2594,1307,1236,51
36103000688,944,752,696,32,10,2,5,0,56,3091,1723,1307,61
36103000871,1628,1293,857,191,48,34,85,2,436,3412,1708,1620,84
36103000079,973,761,490,102,77,6,91,2,271,2375,1234,1099,42
36103000106,2678,2180,1271,362,300,21,233,1,909,5882,2536,3245,101
36103000090,1238,911,154,147,521,14,83,2,757,3228,535,2649,44
36103000766,2588,1915,226,1404,257,94,52,0,1689,3156,624,2487,45
36103000144,1954,1542,242,413,860,55,37,1,1300,3398,301,3074,23
36091000191,1062,826,742,23,7,16,27,0,84,3509,1437,1982,90
36091000183,1162,823,761,8,3,12,25,0,62,3527,1642,1760,125
36091000194,1074,845,777,20,6,17,14,0,68,2949,1346,1493,110
36011000006,1332,1063,986,16,26,14,10,1,77,4053,1594,2325,134
36011000004,3170,2740,2470,49,109,38,46,1,270,7832,3085,4503,244
36039000004,1254,1078,972,28,29,18,24,2,106,4261,1993,2107,161
36061000941,1063,865,706,51,8,0,96,0,159,2717,501,2165,51
36061000030,2919,2562,159,54,15,10,2327,1,2403,2444,449,1901,94
36061000060,2118,1835,326,93,58,10,1361,3,1509,4846,775,3968,103
36061000032,2240,1917,322,122,126,26,1346,7,1595,2297,325,1893,79
36061000973,1236,1154,827,66,39,1,215,1,327,2691,470,2149,72
36053000052,1225,1014,958,13,1,15,3,1,56,3013,1631,1249,133
36035000041,1830,1421,1301,36,16,18,16,1,120,4556,2890,1566,100
36035000023,1731,1419,1312,31,7,42,7,3,107,3422,2286,1043,93
36103000930,1603,1271,1066,95,19,9,77,1,205,5077,3027,1952,98
36103000390,3339,2461,671,866,821,105,127,10,1790,5025,1448,3476,101
36103000220,4096,3079,1184,1213,571,70,129,4,1895,7818,2709,4943,166
36081000910,1915,1544,25,221,1169,38,133,7,1519,3497,289,3179,29
36081001119,2027,1644,1044,306,55,9,223,1,600,3319,656,2569,94
36081001118,1935,1633,1148,278,31,22,152,2,485,4038,934,2964,140
36081001279,3037,2317,268,1149,307,66,583,10,2049,2856,542,2264,50
