GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP,TOT_VOTES,REP_VOTES,DEM_VOTES,OTH_VOTES
51075000302,1268,1398,1096,42,203,33,20,1,302,3559,2193,1295,71
51570000003,3693,2846,1933,159,567,80,113,6,913,8696,5649,2883,164
51169000504,1270,1049,1007,6,7,20,4,2,42,3125,2725,390,10
51660000202,7043,5362,3515,1155,418,133,212,12,1847,12226,4414,7424,388
51660000203,5408,4468,2870,963,411,75,241,8,1598,10863,3823,6723,317
51660000201,6535,5183,3368,1242,423,95,129,7,1815,11596,4527,6728,341
51165000202,4975,3751,3040,549,89,53,45,9,711,10138,6739,3184,215
51059000717,3347,2651,1413,311,166,48,704,4,1238,8333,1998,6099,236
51059000309,5058,3913,2387,146,136,31,1193,10,1526,13611,4832,8479,300
51059000323,3178,2371,1440,100,73,9,733,3,931,10782,3565,7040,177
51059000106,10666,7932,1395,3606,611,253,2316,17,6537,17267,3876,13119,272
51059000235,5690,4209,1292,232,415,23,2237,8,2917,12364,2883,9239,242
51059000332,10075,8124,2430,847,1781,112,3040,27,5694,16216,3385,12478,353
51059000229,6061,4574,3081,246,191,68,969,8,1493,21968,7411,14076,481
51059000616,4065,3100,1665,290,668,62,443,11,1435,12297,5254,6794,249
51059000613,9709,6296,4344,655,768,136,421,35,1952,15700,7508,7767,425
51059000219,5519,4222,2494,241,186,29,1232,3,1728,14702,4517,9841,344
51059000721,7156,6421,3473,505,535,105,1832,19,2948,14727,2819,11478,430
51059000723,4855,3865,1320,835,279,65,1422,9,2545,7673,1613,5839,221
51059000718,4387,3396,1385,809,302,53,874,15,2011,9982,2786,6958,238
51059000712,1942,1465,993,156,51,31,209,5,472,6315,1785,4340,190
51059000708,9595,7476,3511,1206,459,72,2232,9,3965,17101,3917,12685,499
51059000614,2856,2259,1652,260,149,44,180,11,607,9559,3767,5552,240
51059000827,3716,2758,1882,287,194,43,352,3,876,12010,4013,7737,260
51169000503,563,453,444,1,0,7,0,0,9,1343,1159,164,20
51171000202,3529,2746,2259,340,82,69,25,1,487,8377,5678,2539,160
51171000103,5349,4272,3666,376,101,80,69,5,606,13747,9585,3886,276
51171000601,7737,5899,5010,297,307,151,99,3,889,16046,10110,5652,284
51171000504,2814,2221,2074,61,31,29,12,1,147,8680,6198,2354,128
51540000101,5220,4298,3389,226,395,73,192,6,909,14859,2258,12270,331
51540000202,5560,4188,3274,191,351,57,313,1,914,17559,3183,14025,351
51540000201,5165,4271,2506,226,1089,41,413,6,1765,13802,1156,12364,282
51059000128,3849,3073,1572,568,303,57,600,2,1501,11418,3182,7982,254
51059000511,3633,2920,1825,371,206,39,471,2,1095,11161,2878,8014,269
51059000502,1721,1357,1052,132,17,17,127,5,305,5982,1697,4183,102
51059000512,2108,1673,1014,329,44,18,257,4,659,7415,2009,5231,175
51059000931,5509,3995,1731,224,312,37,1703,7,2264,12095,3294,8543,258
51059000905,1231,903,637,61,33,9,168,0,266,4768,1495,3133,140
51059000927,3213,2405,858,167,123,34,1232,1,1547,9060,2870,6030,160
51059000629,5116,4047,2129,361,738,40,794,14,1918,12668,4627,7816,225
51059000628,7657,5513,1320,536,1578,80,2085,36,4193,17655,3757,13645,253
51153000504,3119,2517,1427,472,381,51,206,11,1090,8843,3349,5315,179
51059000208,7345,6117,3406,873,712,113,1039,20,2711,15228,3308,11577,343
51059000238,5593,5199,3734,343,342,55,728,9,1465,11467,3621,7527,319
51059000916,5744,4294,3206,203,97,50,732,4,1088,18992,7322,11238,432
51059000911,5304,3950,1971,220,229,30,1489,5,1979,15333,5010,10030,293
51059000920,4734,3538,1402,212,227,29,1662,2,2136,12918,3836,8845,237
51059000914,3080,2277,1722,111,43,23,368,1,555,10870,3928,6643,299
51059000851,3946,2981,1641,191,148,23,951,8,1340,11225,4264,6753,208
51059000802,2543,2187,1055,194,252,27,663,10,1132,4936,1307,3514,115
51059000848,6063,4721,1747,316,451,40,2170,13,2974,11794,3497,8059,238
51059000926,10245,7904,2217,759,643,83,4263,10,5687,19678,5329,13982,367
51059000131,6019,4716,2414,455,451,51,1369,13,2302,13944,4431,9169,344
51059000427,4265,3111,1589,284,644,51,579,19,1522,12050,3026,8749,275
51059000929,917,713,554,41,24,9,86,1,159,3814,1643,2087,84
51059000304,3096,2387,1596,99,90,24,563,5,791,7975,3100,4711,164
51059000318,2099,1516,964,74,53,14,401,5,552,5912,1822,3959,131
51059000316,1299,964,716,48,40,7,146,1,248,3393,1315,1997,81
51059000521,4044,3311,1227,757,262,52,1033,6,2084,9907,3158,6569,180
51710000207,6789,5825,1844,285,3417,87,266,38,3981,10363,1037,9074,252
51171000303,2776,2220,2060,96,29,41,5,2,160,8311,6528,1685,98
51171000201,3399,2710,2553,71,29,43,15,1,157,9433,7175,2117,141
51540000402,4575,4025,2801,264,371,52,543,3,1224,10671,1781,8610,280
51540000401,3842,3565,2693,201,294,24,356,10,872,9599,1047,8309,243
51015000502,1488,1183,1100,22,26,25,7,0,83,5246,3881,1275,90
51015000504,4619,3539,3227,53,126,88,23,4,312,10034,7465,2374,195
51015000501,3407,2827,2579,40,144,42,10,0,248,9386,7289,1949,148
51191000101,5446,5223,4835,61,148,93,84,1,388,11187,7263,3718,206
51191000202,2839,2260,2186,30,7,20,9,2,74,6683,5411,1198,74
51191000502,2428,1928,1816,27,17,63,5,3,112,6188,4168,1935,85
51191000501,4552,3620,3477,39,16,66,16,4,143,12918,9987,2794,137
51029000501,1122,861,628,31,186,14,4,2,233,2786,1851,897,38
51029000201,1013,2192,1013,69,1083,21,12,5,1179,3216,1655,1538,23
51087000502,1882,1523,367,57,1076,28,16,5,1156,5435,692,4682,61
51085000403,4519,3510,2907,97,327,98,76,4,603,15419,10172,4934,313
51087000501,2342,1977,1655,38,206,58,16,0,322,9120,6441,2570,109
51087000105,5210,4135,2624,456,681,99,283,8,1511,14311,5048,8890,373
51710000301,4824,3626,804,270,2461,71,96,18,2822,8714,1042,7543,129
51710000313,2312,1677,85,64,1513,31,22,6,1592,5222,165,5021,36
51710000102,3383,2886,1797,298,621,118,116,20,1089,5840,2507,3159,174
51710000213,4157,3591,2813,179,349,63,180,17,778,11646,2345,8887,414
51073000103,1893,1469,1227,41,133,49,11,1,242,5244,3657,1468,119
51073000301,3415,2760,2350,64,235,70,47,2,410,9261,6228,2876,157
51073000102,2605,2111,1669,69,260,84,37,1,442,7507,4920,2451,136
51021000302,454,914,785,4,123,6,1,2,129,1143,958,177,8
51710000311,7963,6222,2462,507,2692,162,522,29,3760,15526,4423,10782,321
51045000301,624,483,469,6,0,7,0,0,14,2016,1416,564,36
51045000101,953,765,733,5,4,15,2,1,32,2600,2079,483,38
51530000002,3328,2716,2272,110,197,94,34,26,444,5741,3534,1950,257
51163000102,1208,993,904,26,19,33,9,0,89,3835,2414,1345,76
51530000001,3369,2638,2372,58,106,92,15,3,266,7205,4688,2320,197
51550000004,3396,2619,2077,94,273,65,113,9,542,10381,6250,3923,208
51550000027,3846,2870,1790,99,732,55,218,20,1080,10372,5189,4975,208
51550000035,3143,2380,961,98,1156,59,127,13,1419,6878,1908,4825,145
51550000001,4086,4006,2764,198,831,92,132,12,1242,10732,6543,3956,233
51550000037,4443,3263,2672,125,296,50,120,8,591,12056,7010,4798,248
51550000060,3842,2793,2230,86,247,67,133,6,563,10656,6650,3795,211
51550000051,6161,4427,3373,255,441,97,269,12,1054,13447,8707,4499,241
51550000036,4192,3083,2332,143,328,82,201,14,751,10877,6661,4029,187
51550000034,4767,3575,2936,175,243,75,151,9,639,13655,9364,3984,307
51550000043,3323,2581,2148,89,169,60,99,5,433,10092,6856,3045,191
51067000301,1506,1204,1081,12,79,26,1,0,123,4145,3155,932,58
51149000202,3196,2517,1780,105,563,57,39,8,737,9448,5978,3330,140
51149000203,1126,903,694,15,170,21,7,2,209,4216,2843,1337,36
51179000102,4604,3807,2570,290,701,105,169,14,1237,11082,5467,5410,205
